2016/03/06,23:25:33.897Z,Imagine: OPEN-BORDERS with TURKEY when it is granted EU Membership IN RETURN for its co-operation in this mess!  Vote OUT!,London United Kingdom,57,57,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:24:14.988Z,Good God! they even fight over firewood.  They could get some pretty good fires going with all the trash they leave lying around.   Can people see that this is how they have lived for generations.   They  will never change.,Saint George United States,65,67,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:24:13.156Z,Soon Britain will be the only country between here and A frica with no proper border controls . We have to do two things get out of the EU and get rid of Cameron .,Warrington UK,48,48,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:23:56.308Z,Turkey is  sending  these refugees  deliberatelythey dnt  want  to  stop  themit  is  clearcant  you  see  this??,melbourne Australia,46,46,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:22:44.091Z,And on the news we had a few Iraqis calling Macedonian police monsters which made me laugh one had a collar on has he a suspected fracture caused by police so he not been to hospital but had nice collar look to hlawyers suing EU and Macedonia and getting shedloads of money,liverpool,35,37,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:21:36.644Z,SECRET DEAL SECRET DEAL SECRET DEAL: IF TURKEY CO-OPERATES IT'LL BE GRANTED MEMBERSHIP OF THE EUROPEAN UNION. ,London United Kingdom,42,42,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:20:55.809Z,Come to the UK - there is plenty of room!! + Free benefits and healthcare life here is great!,Glasgow SCOTLAND United Kingdom,-38,48,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:19:18.674Z,Big Issue...Bag of Kindling.....Big Issue...Bag of Kindling      coming soon to a High Street near you.  OUT NOW,wolverhampton United Kingdom,37,39,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:18:29.489Z,If only we could vote to exit the EU tomorrow !,St Andrews United Kingdom,49,53,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:16:38.416Z,Look past the faces of the cowed women. Seriously look at the faces of those men. Do you want them in your street?,exeter United Kingdom,64,66,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:15:06.256Z,I don't see the point of Turkey joining the EU to allow free movement of people TURKEY AND THE EU ARE ALLOWING IT NOW ANYWAY,Sydney Australia,42,44,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:15:05.845Z,Why aren't these men going back to fight for their countries freedom?,Swindon United Kingdom,44,46,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:13:49.952Z,What an absolute mess,All Over The Place United Kingdom,36,38,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:13:17.448Z,With those expensive I phones you would think they were able to google how cold Europe gets silly fools. Best get back on that phone and inform your families to get the dinner on back home and turn around fast,Torbay United Kingdom,47,49,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:13:13.631Z,The Eu haven't a clue what there doing  total lack of leadership and no plan after all this time god help them when they have a real problem and for god sake never let them have a army or were all doomed.,Derby United Kingdom,42,42,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:13:13.098Z,Destroyed there homeland now on there way to destroy ours vote out.,Leeds United Kingdom,55,59,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:11:23.933Z,Haven't the politicians made one hell of a mess. What else can you say that hasn't been said before.,auckland,52,54,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:10:51.721Z,Being a small part of past and present vast numbers of people fleeing I can only wonder what their expectations were before setting out.,Salisbury United Kingdom,37,37,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:09:40.462Z,And just look at all those men jumping in front of the several females! ,West Sussex United Kingdom,53,57,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:05:25.049Z,There is a SECRET DEAL underway with TURKEY: if they co-operate with the EU then they will be GRANTED MEMBERSHIP of the European Union. Imagine terrori$t-sym pathising TURKEY IN THE EU!!  We MUST vote OUT!!!,London United Kingdom,82,88,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:05:06.690Z,Macedonia is not yet a member of the EU. It Can Control its Borders. In this case only admitting true refugees those from cities that are Actually being effected by the war in Syria. That is what Not being a member of the EU allows.,london United Kingdom,63,65,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:03:49.359Z,The Y2 Chromosome deficiency in abundance. look it up on the net if you can find it it's well hidden ........,womble town United Kingdom,23,31,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:02:21.341Z,Europe is no longer Europe Europe is full of sponge benefit sucking lazy refugees.,Mayfair London. United Kingdom,76,78,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:02:04.007Z,Spot the irony.....Turkey the only country in the World straddling 2 Continents is vying to be the next E.N Member whereas in the ME Isr... is not in the A ra  b L e a g ue !,Baja California Mexico,21,21,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:01:15.937Z,Germany has banned sausages and pork from schools so not to upset migrants lol vote out,Southampton United Kingdom,68,84,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,23:01:02.116Z,non of them look starving.  That pic with the red hoddie at the front look at those guys eyes and face they look evil.  Proper isis troops.,stoke United Kingdom,57,63,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:59:34.188Z,Oh look future Germans entitled to everything. ,Here United Kingdom,60,60,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:59:31.354Z,When the books are eventually written about the collapse of Europe how many chapters will be necessary to describe all those at fault?,Hamilton Bermuda,54,56,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:56:06.573Z,The picture of the little boy with all that breadare we supposed to believe he made it through that lot with his food intact ! pose for the photo little boy said the anarchist  !!,womble town United Kingdom,65,65,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:55:39.412Z, I don't care and never will. ,Liverpool,52,66,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:55:30.275Z,they should all go back and fight for their country not invade ours,France,56,62,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:54:36.230Z,If thats the scenes with firewood and bread being given out....what will it be like when the envelopes of cash get divvied out!!??? Cash given so they have more "dignity" Hmmmm......bet there's nothing dignified about it!! Get them back to Turkey ASAP.,South of the border United Kingdom,59,59,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:54:23.727Z,All those swarthy 'gimme' men ......... ugh.,Toronto Canada,55,57,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:54:02.474Z,Nice to see Erdogan is spending the &euro;3 billion given to him by the EU to help stop the flow of migrants from his country ~~~~ Oh wait,Sydney Australia,42,42,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:52:50.528Z,They all look utterly prehistoric. What possible use are they to a civilized first world country?,Nowhere United Kingdom,56,64,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:52:16.032Z,The BBC reports are like the Titanic Women and children first in every shot.,eastleigh United Kingdom,41,45,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:51:07.149Z,Check over on the d e xpress for the latest food ban you wont belive it  !!,womble town United Kingdom,26,28,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:50:09.968Z,Is anyone else starting to just get fed up with this story...,Liverpool United Kingdom,41,49,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:49:39.023Z,Hands out demand demand demand. And no gratitude whatsoever.,Nowhere United Kingdom,57,63,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:49:06.925Z,I don't give a toot:),london,39,43,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:45:25.509Z,Merkel's getting worried that with Brexit she won't be able to send all her migrants off to the UK with their new EU passports. Or the Turkish 'visitors' in October.,london United Kingdom,53,57,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:44:59.757Z,Well I think Turkish price and demands will go up ...and god knows what the UK government. Will give them  ...in terms of  money ..its going to be one rich country well president ....while here Osbourne. Is looking for ways to take make money ..from us mere peasants....   what gets me they keep on coming so..why is  turkey not stopping boats   don't. Even bother asking the dictator of  the UK ...it just be lies ,preston United Kingdom,51,53,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:43:39.057Z,Just seen the news on BBC1.  One (or was it 2?) interviewed said that if he were told to go back to Turkey  I don't understand it I really don't.  Safe but it's not good enough.  On the radio yesterday (Radio 4) I heard someone saying how much money was being paid to the smugglers.  I wonder where they get this kind of money from - thousands for one person.  I would have thought that with all that wealth they could use it to settle themselves where it is safe.  They must be pretty rich by their standards .... I wish I was.,Shropshire United Kingdom,47,51,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:40:55.181Z,That will be about 90% of them sent back then. The lack of proper control over who comes and goes is the problem here and since we all have to have ID and give our details for everything why should they be any different. Border control passports would solve this not rocket science Australia managed to do it in a very short space of time.,surrey,64,64,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:39:05.152Z,The European disaster is going to get worse if Turkey is allowed into the EU. Then it will be millions of Turks on the march into a town/village near you. Meanwhile our scheming lying Prime Minister is deceiving us all. Vote to get out of this nightmare by voting no in June. You have been warned. Get out while we still can and secure UK borders.,Up North United Kingdom,69,69,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:36:33.927Z,If every European family housed a refugee this whole crisis would be solved overnight. Food for thought. ,Bradford United Kingdom,-142,148,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:34:28.823Z,Can you imagine the hell that will let loose when these people are told they've got to go back to turkey,default,74,76,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:33:38.660Z,I just arrive in Calais I make final step to uk soon I love support of uk for me come from syria.,Fleeing to Britain France,-108,114,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
2016/03/06,22:33:16.864Z,Give them  blocks of firewood...stuffed with dynamite.,Bern Switzerland,52,60,EU leaders set to push Turkey to agree to deportation of migrants from Greece,/news/article-3478861/EU-leaders-set-push-Turkey-agree-large-scale-deportation-economic-migrants-Greece-amid-fears-fresh-surge-100-000-warmer-spring-months.html
